pattern,support,num_edges,edge_keys
59804c495feae328bfcf059b,0.0714285746216774,4,"[0, 46, 52, 63]"
59804c675feae328bfcf09eb,0.0714285746216774,5,"[0, 46, 52, 63, 72]"
59804c2c5feae328bfcf0316,0.1785714328289032,4,"[0, 46, 52, 65]"
59804c665feae328bfcf091a,0.0714285746216774,5,"[0, 46, 52, 65, 67]"
59804c675feae328bfcf095e,0.1785714328289032,5,"[0, 46, 52, 65, 72]"
59804c495feae328bfcf05b9,0.0714285746216774,4,"[0, 46, 52, 67]"
59804c675feae328bfcf0a26,0.0714285746216774,5,"[0, 46, 52, 67, 72]"
59804c495feae328bfcf057d,0.1785714328289032,4,"[0, 46, 52, 72]"
59804c2c5feae328bfcf02ea,0.0714285746216774,3,"[0, 46, 59]"
59804c495feae328bfcf05bf,0.0714285746216774,4,"[0, 46, 59, 65]"
59804c675feae328bfcf09d4,0.0714285746216774,5,"[0, 46, 59, 65, 72]"
59804c495feae328bfcf05f5,0.0714285746216774,4,"[0, 46, 59, 72]"
59804c105feae328bfcf0083,0.0714285746216774,3,"[0, 46, 63]"
59804c495feae328bfcf05f8,0.0714285746216774,4,"[0, 46, 63, 72]"
59804c105feae328bfcf00bd,0.3214285671710968,3,"[0, 46, 65]"
59804c2c5feae328bfcf0311,0.0714285746216774,4,"[0, 46, 65, 67]"
59804c675feae328bfcf09c8,0.0714285746216774,5,"[0, 46, 65, 67, 72]"
59804c2c5feae328bfcf02ee,0.3214285671710968,4,"[0, 46, 65, 72]"
59804c105feae328bfcf008b,0.0714285746216774,3,"[0, 46, 67]"
59804c495feae328bfcf0604,0.0714285746216774,4,"[0, 46, 67, 72]"
59804c105feae328bfcf008d,0.3214285671710968,3,"[0, 46, 72]"
59804bf45feae328bfcefe92,0.25,2,"[0, 52]"
59804c2c5feae328bfcf02bf,0.0714285746216774,3,"[0, 52, 59]"
59804c495feae328bfcf0526,0.0714285746216774,4,"[0, 52, 59, 65]"
59804c675feae328bfcf0a0e,0.0714285746216774,5,"[0, 52, 59, 65, 72]"
59804c495feae328bfcf0583,0.0714285746216774,4,"[0, 52, 59, 72]"
59804c2c5feae328bfcf028e,0.0714285746216774,3,"[0, 52, 63]"
59804c495feae328bfcf0532,0.0714285746216774,4,"[0, 52, 63, 72]"
59804c105feae328bfcf004c,0.25,3,"[0, 52, 65]"
59804c495feae328bfcf0548,0.0714285746216774,4,"[0, 52, 65, 67]"
59804c675feae328bfcf09b6,0.0714285746216774,5,"[0, 52, 65, 67, 72]"
59804c495feae328bfcf054c,0.25,4,"[0, 52, 65, 72]"
59804c2c5feae328bfcf0294,0.0714285746216774,3,"[0, 52, 67]"
59804c495feae328bfcf0538,0.0714285746216774,4,"[0, 52, 67, 72]"
